11671,591,39,03-27,"时光飞逝，转眼就到了20年了，这段时间发生了很多事情，做网红这么久。最感谢地也就是你们一直陪在我身旁,疫情也到了关键时期，宝宝们在家一定不要出门，做好防护。在这段封闭的时间里我也没有闲着。而是为自己的工作做了更充分的准备。"
6159,332,23,昨天 04:44,别人问我喜欢什么样的 我又开始形容你了 
7223,189,41,04-04,铭记英雄，缅怀同胞
11381,791,25,03-31,我始终偏爱你~
19805,1505,182,03-24,日の入りを販売しています
22391,1193,864,03-16,星星还是那么亮 月亮还是在天上 
17465,847,50,03-14,害 这该死的甜蜜
17974,976,514,03-09,就像那kisskiss亲吻脸颊的味道 
26633,829,126,02-28,“老婆你知道这个世界上什么字最甜吗”
21914,852,202,02-23,以前还挺羡慕猪的生活 每天除了吃就是睡 现在我怀疑它可能有抑郁症或者自闭症 
28428,1141,401,02-11,你 你好 你说很高兴我能够遇见你 
23627,1150,33,02-09,洗衣机 产男友 快揪啊!
17745,787,214,02-07,难搞哦 不知道怎么p滤镜才更像网图了??姐妹们帮我搞一个让我发发朋友圈?? 
36551,935,45,01-23,你不赞他不赞 小宝贝们的照片没人看 
12974,266,123,01-22,每次找大大都是丑丑的进去 漂漂亮亮的出来 感动天地 开开心心回家过年了  和小毛两个人差点没赶上动车 点点携手小毛和大大祝大家新年快乐哟 
60364,1271,145,01-18,本来想好好唱歌的。。
19360,724,66,01-07,慈善捐款 尽己所能
20742,583,92,01-02,近照 
17452,798,25,2019-12-22,分享图片 
54890,2529,71,2019-12-17,我最近脑子真的很痛， 很少在微博给你们发文字 可能真的到了低迷期间吧 ， 明明还能承受我却活的很痛苦，仿佛好多事情都是昨天就发生的，我离开多久了？两年？三年？等的很辛苦吧，嘿，我也一样，可能这一等 就是一辈子，可能我也这么一过 一辈子也就在这些反反复复的日子里面过去了，趁我还理智 ，我 ...
64288,1965,104,2019-12-15,七年前你和我第一次说晚安 我激动了一整夜 七年后换我和你说早安 你说我的头压的你胳膊好酸 
12261,337,34,2019-12-11,看 这个女人今天没穿lolita 
29717,670,66,2019-12-08,祝宝贝生日快乐
12642,433,75,2019-12-07,希望我 是你的救赎
20075,464,70,2019-12-04,想给小宝贝个惊喜 结果。。。
19452,685,195,2019-12-02,是谁家的姑娘
24027,517,58,2019-11-28,开心点吧 活着不容易 
29240,730,162,2019-11-28,对不起这个视频可能… 有点齁
24537,1412,315,2019-11-23,鲛人泪
16779,848,71,2019-11-21,? 
11593,452,19,2019-11-17,"声明一下 目前本人在做的wx 只有我这个号的置顶 还有我小号的置顶。就是说。我现在除了极简和水伲。没有在做任何的东西了。我名义下的只有这两个 其他都是推广!不是自己在卖 不做代购 其他都不是我在运营了,还有进段时间又有宝说刷到我的抖音了。那个抖音不是我的。微信挂的也不是我的。声明一下。谨防 ..."
18654,1034,110,2019-11-14,“祝眉目舒展 顺问冬安”
23893,1188,134,2019-11-13,给你们看一个好看的小短片 嘿嘿 
18174,1059,27,2019-11-09,猜猜我下一组照片是什么汉服吧(///ω///) 
29071,450,85,2019-11-05,何德何能 承蒙厚爱 三生有幸
16581,388,23,2019-11-03,感觉小毛今天格外的帅7 你们说呢
11864,522,38,2019-10-29,只要我想的少 快乐就会追着我跑 
33477,1519,118,2019-10-18,凑合看吧 其他风格真是尽力了 这次口红也涂满整张嘴了 还满意吗 各位小主
26259,997,27,2019-10-15,当你开始死去 全世界突然爱你
29321,1342,17,2019-10-08,想拍一组不是平时自己这种风格的照片 又不知道拍什么 那从评论里挑叭? 截止三天后 热评第一个说啥我就拍啥满足大家  尽量不让大家审美疲劳 三天后俺请热评第一位喝奶茶!
22391,764,70,2019-10-02,宝贝长 宝贝短 宝贝发微博你不管
17165,480,33,2019-10-01,别的女孩子有什么好 有我这么会惹你生气吗
38608,573,59,2019-09-29,进来看看吧 小毛有话说
34707,578,30,2019-09-23,小宝贝和大宝贝
